,Modelo,Motorizacion,Categoria,MTMA_Kg,Consumo_electrico_kWh/10km,Potencia_electrica_kW,Autonomia_electrica_km,Capacidad_bateria_kWh,Consumo Mínimo,Consumo Máximo,Emisiones Mínimo,Emisiones Máximo
38,Audi Q4 e-tron 35 125 KW Advanced/ S line/Black line MY22,Eléctricos puros,M1,2475.0,17.4,125.0,335.0,51.5,0.0,0.0,0.0,0.0
39,Audi Q4 e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY24,Eléctricos puros,M1,2640.0,17.0,150.0,525.0,76.6,16.8,18.6,0.0,0.0
40,Audi Q4 e-tron 40 150 KW Advanced/ S line/Black line MY22,Eléctricos puros,M1,2640.0,17.7,150.0,510.0,76.6,0.0,0.0,0.0,0.0
41,Audi Q4 e-tron 40 150 KW Advanced/ S line/Black line MY23,Eléctricos puros,M1,2640.0,17.7,150.0,519.0,76.6,0.0,0.0,0.0,0.0
42,Audi Q4 e-tron 45 210 KW (282CV) Advanced MY24,Eléctricos puros,M1,2660.0,16.6,210.0,533.0,77.0,16.4,18.3,0.0,0.0
43,Audi Q4 e-tron 45 210 KW (282CV) Black line MY24,Eléctricos puros,M1,2660.0,17.1,210.0,518.0,77.0,16.8,19.2,0.0,0.0
44,Audi Q4 e-tron 45 210 KW (282CV) S line MY24,Eléctricos puros,M1,2660.0,17.0,210.0,520.0,77.0,16.8,19.2,0.0,0.0
45,Audi Q4 e-tron 50 quattro 220 kW (299 CV) Advanced/ S line/Black line MY23,Eléctricos puros,M1,2720.0,17.5,220.0,503.0,76.6,17.3,20.2,0.0,0.0
46,Audi Q4 e-tron 50 quattro 220 kW (299 CV) Advanced/ S line/Black line MY24,Eléctricos puros,M1,2720.0,17.5,220.0,508.0,76.6,17.3,19.1,0.0,0.0
47,Audi Q4 e-tron 50 quattro 220 KW S line/Black line MY22,Eléctricos puros,M1,2720.0,19.3,220.0,456.0,76.6,0.0,0.0,0.0,0.0
48,Audi Q4 e-tron 55 quattro 250 KW (335CV) Advanced MY24,Eléctricos puros,M1,2750.0,17.1,250.0,514.0,77.0,16.9,18.6,0.0,0.0
49,Audi Q4 e-tron 55 quattro 250 KW (335CV) Black line MY24,Eléctricos puros,M1,2750.0,17.6,250.0,502.0,77.0,17.3,19.5,0.0,0.0
50,Audi Q4 e-tron 55 quattro 250 KW (335CV) S line MY24,Eléctricos puros,M1,2750.0,17.5,250.0,504.0,77.0,17.3,19.5,0.0,0.0
51,"Audi Q4 Genuine edition 45 e-tron 210,00 kW 77,0 kWh",Eléctricos puros,M1,2660.0,17.0,210.0,521.0,77.0,0.0,0.0,0.0,0.0
52,Audi Q4 Sportback 35 e-tron MY22 Básico/Advanced/S Line/Black Line,Eléctricos puros,M1,2475.0,18.0,125.0,323.0,51.5,0.0,0.0,0.0,0.0
53,Audi Q4 Sportback 50 e-tron MY22 Advanced/S Line/Black Line,Eléctricos puros,M1,2720.0,17.9,220.0,488.0,76.6,0.0,0.0,0.0,0.0
54,Audi Q4 Sportback e-tron 35 125 KW Advanced/ S line/Black line MY22,Eléctricos puros,M1,2475.0,18.1,125.0,323.0,51.5,0.0,0.0,0.0,0.0
55,Audi Q4 Sportback e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY23,Eléctricos puros,M1,2625.0,17.0,150.0,519.0,76.6,16.2,19.1,0.0,0.0
56,Audi Q4 Sportback e-tron 40 150 KW (204 CV) Advanced/ S line/Black line MY24,Eléctricos puros,M1,2625.0,17.0,150.0,538.0,76.6,16.3,18.0,0.0,0.0
57,Audi Q4 Sportback e-tron 40 150 KW Advanced/ S line/Black line MY22,Eléctricos puros,M1,2625.0,18.1,150.0,499.0,76.6,0.0,0.0,0.0,0.0
