,Modelo,Motorizacion,Categoria,MTMA_Kg,Consumo_electrico_kWh/10km,Potencia_electrica_kW,Autonomia_electrica_km,Capacidad_bateria_kWh,Consumo Mínimo,Consumo Máximo,Emisiones Mínimo,Emisiones Máximo
436,DS DS 4 E-TENSE 225 RIVOLI,Híbridos enchufables,M1,2200.0,14.9,30.0,71.0,12.4,1.2,1.6,28.0,37.0
437,DS DS 4 E-TENSE 225 TROCADERO,Híbridos enchufables,M1,2200.0,14.9,30.0,71.0,12.4,1.2,1.6,27.5,34.7
438,DS DS 4 PLUG-IN HYBRID ANTOINE SAINT EXUPÉRY,Híbridos enchufables,M1,2200.0,14.9,30.0,71.0,12.4,1.2,1.6,28.0,37.0
439,DS DS 4 PLUG-IN HYBRID ÉTOILE ALCANTARA®,Híbridos enchufables,M1,2200.0,14.9,30.0,71.0,12.4,1.2,1.6,28.0,37.0
440,DS DS 4 PLUG-IN HYBRID ÉTOILE CUERO NAPPA,Híbridos enchufables,M1,2200.0,14.9,30.0,71.0,12.4,1.2,1.6,28.0,37.0
441,DS DS 4 PLUG-IN HYBRID PALLAS,Híbridos enchufables,M1,2200.0,14.9,30.0,71.0,12.4,1.2,1.6,28.0,37.0
442,DS DS 7 E-TENSE 225 ANTOINE DE SAINT EXUPÉRY,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
443,DS DS 7 E-TENSE 225 BASTILLE,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
444,DS DS 7 E-TENSE 225 OPERA,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
445,DS DS 7 E-TENSE 225 PERFORMANCE LINE,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
446,DS DS 7 E-TENSE 225 PERFORMANCE LINE +,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
447,DS DS 7 E-TENSE 225 RIVOLI,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
448,DS DS 7 E-TENSE 4X4 300 ANTOINE DE SAINT EXUPÉRY,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
449,DS DS 7 E-TENSE 4x4 300 BASTILLE,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
450,DS DS 7 E-TENSE 4x4 300 OPERA,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
451,DS DS 7 E-TENSE 4x4 300 PERFORMANCE LINE,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
452,DS DS 7 E-TENSE 4x4 300 PERFORMANCE LINE +,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
453,DS DS 7 E-TENSE 4x4 300 RIVOLI,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
454,DS DS 7 E-TENSE 4X4 360 ANTOINE DE SAINT EXUPÉRY,Híbridos enchufables,M1,2400.0,18.7,164.2,57.0,14.2,1.9,1.9,44.0,44.0
455,DS DS 7 E-TENSE 4X4 360 OPERA,Híbridos enchufables,M1,2400.0,18.7,164.2,57.0,14.2,1.9,1.9,44.0,44.0
456,DS DS 7 E-TENSE 4x4 360 PERFORMANCE LINE +,Híbridos enchufables,M1,2400.0,18.7,164.2,57.0,14.2,1.9,1.9,44.0,44.0
457,DS DS 7 E-TENSE 4x4 360 RIVOLI,Híbridos enchufables,M1,2400.0,18.7,164.2,57.0,14.2,1.9,1.9,44.0,44.0
458,DS DS 7 PLUG-IN HYBRID 225 ANTOINE DE SAINT EXUPÉRY,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
459,DS DS 7 PLUG-IN HYBRID 225 ÉTOILE,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
460,DS DS 7 PLUG-IN HYBRID 225 PALLAS,Híbridos enchufables,M1,2325.0,17.4,81.2,65.0,14.2,1.3,1.9,29.0,43.0
461,DS DS 7 PLUG-IN HYBRID AWD 300 ANTOINE DE SAINT EXUPÉRY,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
462,DS DS 7 PLUG-IN HYBRID AWD 300 ÉTOILE,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
463,DS DS 7 PLUG-IN HYBRID AWD 300 PALLAS,Híbridos enchufables,M1,2400.0,17.7,164.2,63.0,14.2,1.3,1.8,29.0,41.0
464,DS DS 7 PLUG-IN HYBRID AWD 360 ANTOINE DE SAINT EXUPÉRY,Híbridos enchufables,M1,2400.0,18.7,164.2,57.0,14.2,1.9,1.9,44.0,44.0
465,DS DS 7 PLUG-IN HYBRID AWD 360 PERFORMANCE,Híbridos enchufables,M1,2400.0,18.7,164.2,57.0,14.2,1.9,1.9,44.0,44.0
466,DS DS 9 E-TENSE 250 OPERA,Híbridos enchufables,M1,2350.0,18.0,81.2,75.0,15.6,1.0,1.5,23.0,33.0
467,DS DS 9 E-TENSE 250 RIVOLI +,Híbridos enchufables,M1,2350.0,18.0,81.2,75.0,15.6,1.0,1.5,23.0,33.0
468,Esagono Energia Gastone CAJA CERRADA CORTA,Eléctricos puros,N1,2000.0,160.0,9.0,130.0,16.2,0.0,0.0,0.0,0.0
469,Esagono Energia Gastone CAJA CERRADA LARGA,Eléctricos puros,N1,2000.0,160.0,9.0,130.0,16.2,0.0,0.0,0.0,0.0
470,Esagono Energia Gastone PICK UP CORTO,Eléctricos puros,N1,2000.0,160.0,9.0,130.0,16.2,0.0,0.0,0.0,0.0
471,Esagono Energia Gastone PICK UP LARGO,Eléctricos puros,N1,2000.0,160.0,9.0,130.0,16.2,0.0,0.0,0.0,0.0
472,"Esagono Energia GRIFO V.E. GRIFO MICROBUS 8 PL. MATRIC. 72V/13,kW LITIO",Eléctricos puros,N1,2000.0,18.8,9.0,87.0,13.5,0.0,0.0,0.0,0.0
473,ETESIA ET LANDER VMF,Eléctricos puros,N1,2700.0,15.6,19.5,82.0,10.1,0.0,0.0,0.0,0.0
474,EUROGAZA EMERGENCIAS EDAIN EDM4Te3200115060,Eléctricos puros,M1,3200.0,19.3,85.0,181.0,35.0,0.0,0.0,0.0,0.0
475,EUROGAZA EMERGENCIAS EDAIN EDM4Te3200115066,Eléctricos puros,M1,3200.0,19.3,85.0,181.0,35.0,0.0,0.0,0.0,0.0
476,EUROGAZA EMERGENCIAS EPONA EPM1De350055110,Eléctricos puros,M1,3500.0,29.2,41.0,120.0,35.0,0.0,0.0,0.0,0.0
477,EUROGAZA EMERGENCIAS EPONA EPM1De350074110,Eléctricos puros,M1,3500.0,29.7,55.0,168.0,47.0,0.0,0.0,0.0,0.0
478,EUROGAZA EMERGENCIAS FEBRIS FEM1De350055110,Eléctricos puros,M1,3500.0,29.2,41.0,120.0,35.0,0.0,0.0,0.0,0.0
479,EUROGAZA EMERGENCIAS FEBRIS FEM1De350074110,Eléctricos puros,M1,3500.0,29.7,55.0,168.0,47.0,0.0,0.0,0.0,0.0
480,EUROGAZA EMERGENCIAS PANACEA PAM1De350055110,Eléctricos puros,M1,3500.0,29.2,41.0,120.0,35.0,0.0,0.0,0.0,0.0
481,EUROGAZA EMERGENCIAS PANACEA PAM1De350074110,Eléctricos puros,M1,3500.0,29.7,55.0,168.0,47.0,0.0,0.0,0.0,0.0
482,EUROGAZA EMERGENCIAS PANACEA ROLLIBOX PRM1De350055110,Eléctricos puros,M1,3500.0,29.2,41.0,120.0,35.0,0.0,0.0,0.0,0.0
483,EUROGAZA EMERGENCIAS PANACEA ROLLIBOX PRM1De350074110,Eléctricos puros,M1,3500.0,29.7,55.0,168.0,47.0,0.0,0.0,0.0,0.0
484,EUROGAZA EMERGENCIAS SIRONA SIM1De350055110,Eléctricos puros,M1,3500.0,29.2,41.0,120.0,35.0,0.0,0.0,0.0,0.0
485,EUROGAZA EMERGENCIAS SIRONA SIM1De350074110,Eléctricos puros,M1,3500.0,29.7,55.0,168.0,47.0,0.0,0.0,0.0,0.0
486,Evum ACAR,Eléctricos puros,N1,2600.0,19.6,20.0,150.0,23.5,0.0,0.0,0.0,0.0
487,Fiat 500e 3+1 -  Icon / Passion / Business  (87kW),Eléctricos puros,M1,1720.0,14.3,87.0,313.0,42.0,0.0,0.0,0.0,0.0
488,Fiat 500e 3+1 - La Prima  (87kW),Eléctricos puros,M1,1720.0,14.6,87.0,313.0,42.0,0.0,0.0,0.0,0.0
489,Fiat 500e 500e 3+1 Icon 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
490,Fiat 500e 500e 3+1 Icon 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.3,87.0,320.0,42.0,0.0,0.0,0.0,0.0
491,Fiat 500e 500e 3+1 laPrima 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.6,87.0,320.0,42.0,0.0,0.0,0.0,0.0
492,Fiat 500e 500e 3+1 laPrima by Bocelli 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.6,87.0,320.0,42.0,0.0,0.0,0.0,0.0
493,Fiat 500e 500e Action 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
494,Fiat 500e 500e Cabrio Icon 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
495,Fiat 500e 500e Cabrio Icon 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.7,87.0,320.0,42.0,0.0,0.0,0.0,0.0
496,Fiat 500e 500e Cabrio laPrima 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.7,87.0,320.0,42.0,0.0,0.0,0.0,0.0
497,Fiat 500e 500e Cabrio laPrima by Bocelli 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.7,87.0,320.0,42.0,0.0,0.0,0.0,0.0
498,Fiat 500e 500e Cabrio Red 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
499,Fiat 500e 500e Cabrio Red 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.7,87.0,320.0,42.0,0.0,0.0,0.0,0.0
500,Fiat 500e 500e Icon 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
501,Fiat 500e 500e Icon 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
502,Fiat 500e 500e laPrima 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
503,Fiat 500e 500e laPrima by Bocelli320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
504,Fiat 500e 500e Red 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,185.0,23.8,0.0,0.0,0.0,0.0
505,Fiat 500e 500e Red 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
506,Fiat 500e Berlina -  Icon / Passion / Business  (87kW),Eléctricos puros,M1,1690.0,14.0,87.0,313.0,42.0,0.0,0.0,0.0,0.0
507,Fiat 500e Berlina - Action (70kW),Eléctricos puros,M1,1580.0,13.3,70.0,185.0,23.8,0.0,0.0,0.0,0.0
508,Fiat 500e Business 70kW,Eléctricos puros,N1,350.0,13.0,70.0,185.0,24.0,0.0,0.0,0.0,0.0
509,Fiat 500e Business 87kW,Eléctricos puros,N1,350.0,13.1,87.0,320.0,42.0,0.0,0.0,0.0,0.0
510,Fiat 500e Cabrio - Icon / Passion / Business  (87kW),Eléctricos puros,M1,1730.0,14.7,87.0,320.0,42.0,0.0,0.0,0.0,0.0
511,Fiat 500e Fiat 500e 500e Cabrio la Prima (85kW),Eléctricos puros,M1,1580.0,14.6,87.0,320.0,42.0,0.0,0.0,0.0,0.0
512,Fiat 500e Fiat 500e 500e HB la Prima (85kW),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
513,Fiat 500e MY23 500e 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
514,Fiat 500e MY23 500e 3+1 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
515,Fiat 500e MY23 500e 3+1 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
516,Fiat 500e MY23 500e 3+1 laPrima by Bocelli 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.6,87.0,320.0,42.0,0.0,0.0,0.0,0.0
517,Fiat 500e MY23 500e 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
518,Fiat 500e MY23 500e Cabrio 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
519,Fiat 500e MY23 500e Cabrio 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
520,Fiat 500e MY23 500e Cabrio laPrima by Bocelli 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.7,87.0,320.0,42.0,0.0,0.0,0.0,0.0
521,Fiat 500e MY23 500e Cabrio Red 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
522,Fiat 500e MY23 500e Cabrio Red 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
523,Fiat 500e MY23 500e laPrima by Bocelli320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
524,Fiat 500e MY23 500e Red 190km 70kW (95cv),Eléctricos puros,M1,1580.0,13.3,70.0,190.0,23.8,0.0,0.0,0.0,0.0
525,Fiat 500e MY23 500e Red 320km 87kW (118cv),Eléctricos puros,M1,1580.0,14.0,87.0,320.0,42.0,0.0,0.0,0.0,0.0
526,Fiat DOBLÒ VAN Nuevo Doblò Doble Cabina L2 BEV Motor 100 kW Batería 50 kWh,Eléctricos puros,N1,2455.0,19.2,100.0,326.0,50.0,0.0,0.0,0.0,0.0
527,Fiat DOBLÒ VAN Nuevo Doblò Furgón L1 BEV Motor 100 kW Batería 50 kWh,Eléctricos puros,N1,2455.0,18.6,100.0,336.0,50.0,0.0,0.0,0.0,0.0
528,Fiat DOBLÒ VAN Nuevo Doblò Furgón L2 BEV Motor 100 kW Batería 50 kWh,Eléctricos puros,N1,2450.0,18.9,100.0,331.0,50.0,0.0,0.0,0.0,0.0
529,Fiat E-Doblo DOBLE CABINA 100kW Batería 50kWH,Eléctricos puros,N1,2290.0,19.2,100.0,267.0,50.0,0.0,0.0,0.0,0.0
530,Fiat E-Doblo FURGÓN MAXI 100kW Batería 50kWH,Eléctricos puros,N1,2290.0,19.2,100.0,267.0,50.0,0.0,0.0,0.0,0.0
531,Fiat E-Doblo FURGÓN Standard 100kW Batería 50kWH,Eléctricos puros,N1,2290.0,19.2,100.0,267.0,50.0,0.0,0.0,0.0,0.0
532,Fiat E-Scudo Furgón Business,Eléctricos puros,N1,2840.0,24.8,100.0,231.0,50.0,0.0,0.0,0.0,0.0
533,Fiat E-Ulysse MY23 E-Ulysse Lounge Talla L 100 kW (136cv) Batería 75kWh,Eléctricos puros,M1,1870.0,27.8,100.0,310.0,75.0,0.0,0.0,0.0,0.0
534,Fiat E-Ulysse MY23 E-Ulysse Lounge Talla M 100 kW (136cv) Batería 75kWh,Eléctricos puros,M1,1870.0,26.1,100.0,330.0,75.0,0.0,0.0,0.0,0.0
535,Fiat E-Ulysse MY23 E-Ulysse Talla L 100 kW (136cv) Batería 75kWh,Eléctricos puros,M1,1870.0,27.8,100.0,310.0,75.0,0.0,0.0,0.0,0.0
536,Fiat E-Ulysse MY23 E-Ulysse Talla M 100 kW (136cv) Batería 50kWh,Eléctricos puros,M1,1870.0,24.6,100.0,230.0,50.0,0.0,0.0,0.0,0.0
537,Fiat E-Ulysse MY23 E-Ulysse Talla M 100 kW (136cv) Batería 75kWh,Eléctricos puros,M1,1870.0,26.1,100.0,330.0,75.0,0.0,0.0,0.0,0.0
538,Fiat eDoblo eDoblo BEV + launch Pack bateria 50 KW 100kw (136 cv),Eléctricos puros,M1,1814.0,19.6,100.0,285.0,50.0,0.0,0.0,0.0,0.0
539,Fiat eDoblo eDoblo BEV bateria 50 KW 100kw (136 cv),Eléctricos puros,M1,1814.0,19.6,100.0,285.0,50.0,0.0,0.0,0.0,0.0
540,Fiat eDoblo eDoblo BEV Launch Edition bateria 50 KW 100kw (136 cv),Eléctricos puros,M1,1814.0,19.6,100.0,285.0,50.0,0.0,0.0,0.0,0.0
541,Fiat eDucato Chasis 35 L2 47kWh,Eléctricos puros,N1,3500.0,35.1,90.0,158.0,47.0,0.0,0.0,0.0,0.0
542,Fiat eDucato Chasis 35 L2 79kWh,Eléctricos puros,N1,3500.0,38.6,90.0,260.0,79.0,0.0,0.0,0.0,0.0
543,Fiat eDucato Chasis 35 L2-L3 47kWh,Eléctricos puros,N1,3500.0,35.1,90.0,158.0,47.0,0.0,0.0,0.0,0.0
544,Fiat eDucato Chasis 35 L2-L3 79kWh,Eléctricos puros,N1,3500.0,38.6,90.0,260.0,79.0,0.0,0.0,0.0,0.0
545,Fiat eDucato Chasis 35 L3 47kWh,Eléctricos puros,N1,3500.0,35.1,90.0,158.0,47.0,0.0,0.0,0.0,0.0
546,Fiat eDucato Chasis 35 L3 79kWh,Eléctricos puros,N1,3500.0,38.6,90.0,260.0,79.0,0.0,0.0,0.0,0.0
547,Fiat eDucato Chasis 35 L4 47kWh,Eléctricos puros,N1,3500.0,35.1,90.0,158.0,47.0,0.0,0.0,0.0,0.0
548,Fiat eDucato Chasis 35 L4 79kWh,Eléctricos puros,N1,3500.0,38.6,90.0,260.0,79.0,0.0,0.0,0.0,0.0
549,Fiat eDucato Chasis 40 L2 47kWh,Eléctricos puros,N2,4250.0,35.1,90.0,143.0,47.0,0.0,0.0,0.0,0.0
550,Fiat eDucato Chasis 40 L2 79kWh,Eléctricos puros,N2,4250.0,38.6,90.0,237.0,79.0,0.0,0.0,0.0,0.0
551,Fiat eDucato Chasis 40 L2-L3 47kWh,Eléctricos puros,N2,4250.0,35.1,90.0,143.0,47.0,0.0,0.0,0.0,0.0
552,Fiat eDucato Chasis 40 L3 47kWh,Eléctricos puros,N2,4250.0,35.1,90.0,143.0,47.0,0.0,0.0,0.0,0.0
553,Fiat eDucato Chasis 40 L3 79kWh,Eléctricos puros,N2,4250.0,38.6,90.0,237.0,79.0,0.0,0.0,0.0,0.0
554,Fiat eDucato Chasis 40 L4 47kWh,Eléctricos puros,N2,4250.0,35.1,90.0,143.0,47.0,0.0,0.0,0.0,0.0
555,Fiat eDucato Chasis 40 L4 79kWh,Eléctricos puros,N2,4250.0,38.6,90.0,237.0,79.0,0.0,0.0,0.0,0.0
556,Fiat eDucato Combi 35 L2H2,Eléctricos puros,N1,3500.0,31.0,90.0,167.0,47.0,0.0,0.0,0.0,0.0
559,Fiat eDucato Combi 35 L2H2,Eléctricos puros,N1,3500.0,33.6,90.0,271.0,47.0,0.0,0.0,0.0,0.0
562,Fiat eDucato E-Ducato Chasis Cabina 3.5T Heavy L3 H1 Electric 200 Kw & Batería 110 Kwh,Eléctricos puros,N1,3500.0,29.7,200.0,430.0,110.0,0.0,0.0,0.0,0.0
563,Fiat eDucato E-Ducato Furgón 3.5T Heavy L3 H2 Electric 200 Kw & Batería 110 Kwh,Eléctricos puros,N1,3500.0,29.7,200.0,430.0,110.0,0.0,0.0,0.0,0.0
564,Fiat eDucato E-Ducato Furgón 3.5T Heavy L3 H3 Electric 200 Kw & Batería 110 Kwh,Eléctricos puros,N1,3500.0,29.7,200.0,430.0,110.0,0.0,0.0,0.0,0.0
565,Fiat eDucato E-Ducato Furgón 4.2T Heavy L3 H2 Electric 200 Kw & Batería 110 Kwh,Eléctricos puros,N1,4250.0,29.7,200.0,430.0,110.0,0.0,0.0,0.0,0.0
566,Fiat eDucato Furgón 35 L2H1 47kWh,Eléctricos puros,N1,3500.0,31.8,90.0,174.0,47.0,0.0,0.0,0.0,0.0
567,Fiat eDucato Furgón 35 L2H1 79kWh,Eléctricos puros,N1,3500.0,31.8,90.0,283.0,79.0,0.0,0.0,0.0,0.0
568,Fiat eDucato Furgón 35 L2H2 47kWh,Eléctricos puros,N1,3500.0,33.4,90.0,167.0,47.0,0.0,0.0,0.0,0.0
569,Fiat eDucato Furgón 35 L2H2 79kWh,Eléctricos puros,N1,3500.0,33.4,90.0,272.0,79.0,0.0,0.0,0.0,0.0
570,Fiat eDucato Furgón 35 L3H2 47kWh,Eléctricos puros,N1,3500.0,33.6,90.0,165.0,47.0,0.0,0.0,0.0,0.0
571,Fiat eDucato Furgón 35 L3H2 79kWh,Eléctricos puros,N1,3500.0,33.6,90.0,271.0,79.0,0.0,0.0,0.0,0.0
572,Fiat eDucato Furgón 35 L3H3 47kWh,Eléctricos puros,N1,3500.0,34.9,90.0,159.0,47.0,0.0,0.0,0.0,0.0
573,Fiat eDucato Furgón 35 L3H3 79kWh,Eléctricos puros,N1,3500.0,34.9,90.0,262.0,79.0,0.0,0.0,0.0,0.0
574,Fiat eDucato Furgón 35 L4H2 47kWh,Eléctricos puros,N1,3500.0,33.8,90.0,164.0,47.0,0.0,0.0,0.0,0.0
575,Fiat eDucato Furgón 35 L4H2 79kWh,Eléctricos puros,N1,3500.0,33.8,90.0,269.0,79.0,0.0,0.0,0.0,0.0
576,Fiat eDucato Furgón 35 L4H3 47kWh,Eléctricos puros,N1,3500.0,35.1,90.0,158.0,47.0,0.0,0.0,0.0,0.0
577,Fiat eDucato Furgón 35 L4H3 79kWh,Eléctricos puros,N1,3500.0,35.1,90.0,260.0,79.0,0.0,0.0,0.0,0.0
578,Fiat eDucato Furgón 40 L2H1 47kWh,Eléctricos puros,N2,4250.0,32.8,90.0,159.0,47.0,0.0,0.0,0.0,0.0
579,Audi A3 SPORTBACK 45 TFSIe Black line competición MY21,Híbridos enchufables,M1,2075.0,15.3,85.0,60.0,15.0,1.2,1.3,29.0,30.0
580,Audi A3 SPORTBACK Advanced 40 TFSI e 150(204) kW(CV) S tronic,Híbridos enchufables,M1,2095.0,14.6,85.0,142.0,26.0,0.3,0.4,6.0,8.0
581,Audi A3 SPORTBACK Black competition 45 TFSI e 200(272) kW(CV) S tronic,Híbridos enchufables,M1,2095.0,16.2,85.0,127.0,26.0,0.4,0.4,8.0,9.0
582,Audi A3 SPORTBACK Genuine edition 40 TFSI e 150(204) kW(CV) S tronic,Híbridos enchufables,M1,2095.0,15.8,85.0,130.0,26.0,0.4,0.4,9.0,9.0
583,Audi A3 SPORTBACK Launch Edition 40 TFSI e 150(204) kW(CV) S tronic,Híbridos enchufables,M1,2095.0,14.6,85.0,142.0,26.0,0.3,0.4,6.0,8.0
584,Audi A3 Sportback NF 40 TFSI e 150 kW (205 cv) S tronic 7 vel. Advanced MY21,Híbridos enchufables,M1,2065.0,144.0,85.0,65.0,13.0,1.0,1.2,24.0,30.0
585,Audi A3 Sportback NF 40 TFSI e 150 kW (205 cv) S tronic 7 vel. S line / Black line MY21,Híbridos enchufables,M1,2065.0,152.0,85.0,60.0,13.0,1.1,1.2,29.0,30.0
586,Audi A3 Sportback NF 40 TFSI e150 kW (204 cv) S tronic 6 vel. Advanced MY22,Híbridos enchufables,M1,2065.0,15.1,85.0,61.0,10.4,1.0,1.2,25.0,31.0
587,Audi A3 Sportback NF 40 TFSI e150 kW (204 cv) S tronic 6 vel. S line/Black line MY22,Híbridos enchufables,M1,2065.0,15.1,80.0,61.0,10.4,1.2,1.2,29.0,29.0
588,Audi A3 Sportback NF 40 TFSIe 150 kW (204 CV) S tronic 6 vel. Advanced / S line MY23,Híbridos enchufables,M1,2085.0,14.8,110.0,63.0,10.4,1.1,1.4,25.0,31.0
589,Audi A3 Sportback NF 40 TFSIe 150 kW (204 CV) S tronic 6 vel. Advanced MY24,Híbridos enchufables,M1,2085.0,15.7,80.0,64.0,13.0,14.7,15.7,25.0,31.0
590,Audi A3 Sportback NF 40 TFSIe 150 kW (204 cv) S tronic 6 vel. Genuine edition MY24,Híbridos enchufables,M1,2085.0,15.4,80.0,60.0,13.0,1.3,1.3,30.0,29.0
591,Audi A3 Sportback NF 40 TFSIe 150 kW (204 cv) S tronic 6 vel. S line MY24,Híbridos enchufables,M1,2085.0,15.7,80.0,60.0,13.0,1.2,1.2,29.0,29.0
592,Audi A3 Sportback NF 45 TFSI e 180 kW (245 CV) S tronic 6 vel. Black line competition MY23,Híbridos enchufables,M1,2320.0,15.4,80.0,59.0,10.4,1.3,1.4,29.0,31.0
593,Audi A3 Sportback NF 45 TFSI e180 kW (245 CV) S tronic 6 vell. Black line competition MY22,Híbridos enchufables,M1,2065.0,15.6,86.0,61.0,10.4,1.2,1.3,29.0,31.0
594,Audi A3 Sportback NF 45 TFSIe 180 kW (245 CV) S tronic 6 vel. Black line competition MY24,Híbridos enchufables,M1,2095.0,15.8,80.0,59.0,13.0,15.4,15.8,29.0,31.0
595,Audi A3 SPORTBACK S line 40 TFSI e 150(204) kW(CV) S tronic,Híbridos enchufables,M1,2095.0,15.8,85.0,131.0,26.0,0.4,0.4,8.0,9.0
596,Fiat eDucato Furgón 40 L2H1 79kWh,Eléctricos puros,N2,4250.0,35.2,90.0,260.0,79.0,0.0,0.0,0.0,0.0
597,Fiat eDucato Furgón 40 L2H2 47kWh,Eléctricos puros,N2,4250.0,34.5,90.0,152.0,47.0,0.0,0.0,0.0,0.0
598,Fiat eDucato Furgón 40 L2H2 79kWh,Eléctricos puros,N2,4250.0,36.8,90.0,249.0,79.0,0.0,0.0,0.0,0.0
599,Fiat eDucato Furgón 40 L3H2 47kWh,Eléctricos puros,N2,4250.0,34.9,90.0,150.0,47.0,0.0,0.0,0.0,0.0
600,Fiat eDucato Furgón 40 L3H2 79kWh,Eléctricos puros,N2,4250.0,37.1,90.0,247.0,79.0,0.0,0.0,0.0,0.0
601,Fiat eDucato Furgón 40 L3H3 47kWh,Eléctricos puros,N2,4250.0,36.3,90.0,144.0,47.0,0.0,0.0,0.0,0.0
602,Fiat eDucato Furgón 40 L3H3 79kWh,Eléctricos puros,N2,4250.0,38.4,90.0,238.0,79.0,0.0,0.0,0.0,0.0
603,Fiat eDucato Furgón 40 L4H2 47kWh,Eléctricos puros,N2,4250.0,35.1,90.0,149.0,47.0,0.0,0.0,0.0,0.0
604,Fiat eDucato Furgón 40 L4H2 79kWh,Eléctricos puros,N2,4250.0,37.3,90.0,245.0,79.0,0.0,0.0,0.0,0.0
605,Fiat eDucato Furgón 40 L4H3 47kWh,Eléctricos puros,N2,4250.0,36.5,90.0,143.0,47.0,0.0,0.0,0.0,0.0
606,Fiat eDucato Furgón 40 L4H3 79kWh,Eléctricos puros,N2,4250.0,38.6,90.0,237.0,79.0,0.0,0.0,0.0,0.0
